phrase,description
Action,"Sports and dexterity, you don’t sit calmly on a chair, in fact the chair might be unnecessary."
Cocktail,"Funny, simple, attractive, short game as an in between game or as a starter for a new activity advisable as a warming up for a games evening."
Bluffing,"Pretending, not immediately revealing your intentions."
Conflict and Simulation,"Simulate historical, economic or military conflicts."
Cooperation,"Working together is necessary to win: we win or we lose."
Deduction,"Find the solution with logical thinking, combining and eliminating the possibilities."
Detective,"Mob, thieves, detectives and policeman are involvedd."
Dice,"Dice determine the winner or are an important game mechanism."
Fantasy,"Takes place in a mystical world."
Role-playing,"Takes place in a (mythical, futuristic) fantasy world and have often a written adventure as a basis."
Memory,"Being able to memorize is very important."
Number,"Combine numbers, calculate, put in order,..."
Gambling,"Accept well calculated risks, accept the challenge of a gamble."
Trade,"Earn money, play on the options market, buy or sell."
Card,"A deck of cards in your hand form the base of the game."
Classics,"Exist for a long time, belong in every game library, international best sellers."
Small Children,"Reading and/or calculating are not a necessary skill."
Lay Down,"Place playing pieces to create a row, a path, a combination on a game board or on the table."
Quiz,"Solve questions or unriddle brainteasers."
Solitude,"No friends needed to play."
Play in a Row,"Playing pieces must form a row, series or a pattern"
Auction,"Buy or sell by auction."
Word,"Form, guess or recognize letters or words."
